volcano_number	name	country	volcanic_region	volcano_type	tectonic_setting	evidence_category	elevation_m	last_eruption_year	longitude	latitude
210010	West Eifel Volcanic Field	Germany	Central European Volcanic Province	Volcanic field	Rift zone / Continental crust (> 25 km)	Eruption Dated	600	-8300	6.85	50.17
210020	Chaine des Puys	France	Western European Volcanic Province	Lava dome(s)	Rift zone / Continental crust (> 25 km)	Eruption Dated	1464	-4040	2.981	45.786
210030	Olot Volcanic Field	Spain	Western European Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Credible	893		2.53	42.17
210040	Calatrava Volcanic Field	Spain	Western European Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Dated	1117	-3600	-4.02	38.87
211004	Colli Albani	Italy	Italian Peninsula Volcanic Provinces	Caldera	Subduction zone / Continental crust (> 25 km)	Evidence Uncertain	949		12.7251	41.7569
211010	Campi Flegrei	Italy	Italian Peninsula Volcanic Provinces	Caldera	Subduction zone / Continental crust (> 25 km)	Eruption Observed	458	1538	14.139	40.827
211020	Vesuvius	Italy	Italian Peninsula Volcanic Provinces	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	1281	1944	14.426	40.821
211030	Ischia	Italy	Italian Peninsula Volcanic Provinces	Complex	Subduction zone / Continental crust (> 25 km)	Eruption Observed	789	1302	13.897	40.73
211031	Palinuro	Italy	Aeolian Volcanic Arc	Compound	Subduction zone / Continental crust (> 25 km)	Eruption Dated	-70	-8040	14.83	39.48
211040	Stromboli	Italy	Aeolian Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	924	2026	15.213	38.789
211041	Panarea	Italy	Aeolian Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Evidence Uncertain	399		15.064	38.638
211042	Lipari	Italy	Aeolian Volcanic Arc	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Eruption Dated	590	1230	14.933	38.49
211050	Vulcano	Italy	Aeolian Volcanic Arc	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Eruption Observed	500	1890	14.962	38.404
211060	Etna	Italy	Sicily Volcanic Province	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Eruption Observed	3357	2026	14.999	37.748
211070	Campi Flegrei del Mar di Sicilia	Italy	Sicily Volcanic Province	Volcanic field	Rift zone / Continental crust (> 25 km)	Eruption Observed	-8	1867	12.7	37.1
211071	Pantelleria	Italy	Sicily Volcanic Province	Shield	Rift zone / Continental crust (> 25 km)	Eruption Observed	836	1891	12.02	36.77
211080	Marsili	Italy	Aeolian Volcanic Arc	Complex		Eruption Dated	-779	-1050	14.399	39.284
212020	Methana	Greece	Hellenic Volcanic Arc	Lava dome(s)	Subduction zone / Continental crust (> 25 km)	Eruption Observed	380	-258	23.3331	37.6186
212030	Milos	Greece	Hellenic Volcanic Arc	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Eruption Dated	751	140	24.439	36.699
212040	Santorini	Greece	Hellenic Volcanic Arc	Shield(s)	Subduction zone / Continental crust (> 25 km)	Eruption Observed	367	1950	25.396	36.404
212042	Kolumbo	Greece	Hellenic Volcanic Arc	Complex		Eruption Dated	-18	1650	25.483	36.524
212050	Nisyros	Greece	Hellenic Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	698	1888	27.1553	36.5888
213000	Kula	Turkiye	Western Anatolian Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Credible	750		28.52	38.58
213002	Hasandag-Keciboyduran Volcanic Complex	Turkiye	Western Anatolian Volcanic Province	Stratovolcano	Intraplate / Continental crust (> 25 km)	Evidence Credible	3253		34.17	38.13
213010	Erciyes Volcanic Complex	Turkiye	Western Anatolian Volcanic Province	Stratovolcano	Intraplate / Continental crust (> 25 km)	Eruption Dated	3864	-6880	35.447	38.531
213011	Karaca Dag	Turkiye	Northern Arabia Volcanic Province	Shield	Intraplate / Continental crust (> 25 km)	Evidence Credible	1957		39.83	37.67
213020	Nemrut Dagi	Turkiye	Central Anatolian Volcanic Province	Stratovolcano	Intraplate / Continental crust (> 25 km)	Eruption Observed	2948	1650	42.229	38.654
213030	Tenduruk Dagi	Turkiye	Central Anatolian Volcanic Province	Shield	Intraplate / Continental crust (> 25 km)	Eruption Observed	3514	1855	43.874	39.356
213040	Ararat	Turkiye	Central Anatolian Volcanic Province	Stratovolcano	Intraplate / Continental crust (> 25 km)	Eruption Observed	5165	1840	44.3	39.7
214010	Elbrus	Russia	Caucasus Volcanic Province	Stratovolcano	Intraplate / Continental crust (> 25 km)	Eruption Dated	5642	50	42.442	43.351
214020	Kazbek	Georgia	Caucasus Volcanic Province	Stratovolcano	Intraplate / Continental crust (> 25 km)	Eruption Dated	5004	-750	44.5184	42.697
214050	Samsari Volcanic Center	Georgia	Caucasus Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Uncertain	3290		43.7	41.542
214060	Aragats	Armenia	Caucasus Volcanic Province	Stratovolcano	Intraplate / Continental crust (> 25 km)	Evidence Credible	4095		44.2	40.53
214070	Ghegham Volcanic Ridge	Armenia	Caucasus Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Dated	3597	-1900	45.0	40.283
214080	Vaiyots-Sar	Armenia	Caucasus Volcanic Province	Pyroclastic cone(s)	Intraplate / Continental crust (> 25 km)	Eruption Dated	2575	-2000	45.497	39.797
214090	Porak	Armenia-Azerbaijan	Caucasus Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Dated	3029	-778	45.74	40.028
214100	Tskhouk-Karckar	Armenia-Azerbaijan	Caucasus Volcanic Province	Pyroclastic cone(s)	Intraplate / Continental crust (> 25 km)	Eruption Dated	3139	-3000	45.992	39.742
221010	Tair, Jebel at	Yemen	Red Sea Rift Volcanic Province	Stratovolcano	Rift zone / Oceanic crust (< 15 km)	Eruption Observed	244	2008	41.83	15.55
221020	Zubair Group	Yemen	Red Sea Rift Volcanic Province	Shield	Rift zone / Oceanic crust (< 15 km)	Eruption Observed	191	2013	42.18	15.05
221021	Zukur	Yemen	Red Sea Rift Volcanic Province	Shield	Rift zone / Oceanic crust (< 15 km)	Evidence Credible	624		42.75	14.02
221022	Hanish	Yemen	Red Sea Rift Volcanic Province	Shield	Rift zone / Oceanic crust (< 15 km)	Evidence Credible	422		42.73	13.72
221040	Alid	Eritrea	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	904		39.92	14.88
221041	Dallol	Ethiopia	Afar Rift Volcanic Province	Explosion crater(s)	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	-48	2011	40.3	14.242
221050	Gada Ale	Ethiopia	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	287		40.408	13.975
221060	Alu-Dalafilla	Ethiopia	Afar Rift Volcanic Province	Fissure vent(s)	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	578	2008	40.553	13.793
221071	Bora Ale	Ethiopia	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	668		40.6	13.725
221080	Erta Ale	Ethiopia	Afar Rift Volcanic Province	Shield	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	585	2025	40.666	13.601
221090	Ale Bagu	Ethiopia	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	988		40.631	13.512
221091	Hayli Gubbi	Ethiopia	Afar Rift Volcanic Province	Shield	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	493	2025	40.7161	13.5111
221100	Dubbi	Eritrea	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	1625	1861	41.809	13.579
221101	Nabro	Eritrea	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	2218	2012	41.7	13.37
221102	Mallahle	Ethiopia-Eritrea	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Uncertain	1875		41.65	13.27
221103	Sork Ale	Ethiopia-Eritrea	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Uncertain	1611		41.725	13.18
221104	Asavyo	Ethiopia	Afar Rift Volcanic Province	Shield	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	1338		41.599	13.098
221105	Mat Ala	Ethiopia	Afar Rift Volcanic Province	Shield	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	493		41.161	13.106
221106	Tat Ali	Ethiopia	Afar Rift Volcanic Province	Shield	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	655		41.063	13.284
221107	Borawli	Ethiopia	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	784		40.987	13.304
221110	Afdera	Ethiopia	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Uncertain	1250		40.853	13.088
221111	Ma Alalta	Ethiopia	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	1745		40.185	13.013
221112	Alayta	Ethiopia	Afar Rift Volcanic Province	Shield	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	1496	1915	40.573	12.888
221113	Dabbahu	Ethiopia	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	1401	2005	40.48	12.595
221114	Dabbayra	Ethiopia	Afar Rift Volcanic Province	Shield	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	1302		40.07	12.38
221115	Manda Hararo	Ethiopia	Afar Rift Volcanic Province	Shield(s)	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	600	2009	40.82	12.17
221116	Groppo	Ethiopia	Afar Rift Volcanic Province	Volcanic field	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	852		40.242	11.816
221120	Kurub	Ethiopia	Afar Rift Volcanic Province	Shield	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	625		41.208	11.88
221122	Manda-Inakir	Ethiopia-Djibouti	Afar Rift Volcanic Province	Fissure vent(s)	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	600	1928	42.2	12.38
221123	Mousa Alli	Ethiopia-Eritrea-Djibouti	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	1993		42.404	12.469
221124	Gufa	Eritrea-Djibouti	Afar Rift Volcanic Province	Volcanic field	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	600		42.53	12.55
221125	Assab Volcanic Field	Eritrea	Afar Rift Volcanic Province	Volcanic field	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	987		42.43	12.95
221126	Ardoukoba	Djibouti	Afar Rift Volcanic Province	Fissure vent(s)	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	298	1978	42.47	11.58
221127	Manda Gargori	Ethiopia	Afar Rift Volcanic Province	Fissure vent(s)	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	700		41.48	11.75
221141	Dama Ali	Ethiopia	Main Ethiopian Rift Volcanic Province	Shield	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	1068	1631	41.63	11.28
221150	Gabillema	Ethiopia	Main Ethiopian Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	1459		41.27	11.08
221151	Yangudi	Ethiopia	Main Ethiopian Rift Volcanic Province	Complex	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	1383		41.042	10.58
221160	Ayelu	Ethiopia	Main Ethiopian Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	2145		40.702	10.082
221170	Adwa	Ethiopia	Main Ethiopian Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	1670		40.831	10.063
221171	Hertali	Ethiopia	Main Ethiopian Rift Volcanic Province	Fissure vent	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	900		40.33	9.78
221172	Liado Hayk	Ethiopia	Main Ethiopian Rift Volcanic Province	Volcanic field	Rift zone / Continental crust (> 25 km)	Evidence Uncertain	878		40.28	9.57
221180	Dofen	Ethiopia	Main Ethiopian Rift Volcanic Province	Shield	Rift zone / Continental crust (> 25 km)	Evidence Credible	1151		40.13	9.35
