volcano_number	name	country	volcanic_region	volcano_type	tectonic_setting	evidence_category	elevation_m	last_eruption_year	longitude	latitude
241020	Auckland Volcanic Field	New Zealand	Western North Island Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Dated	260	1446	174.81	-36.89
241021	Tuhua/Mayor Island	New Zealand	Taupo Volcanic Arc	Shield	Subduction zone / Continental crust (> 25 km)	Eruption Dated	355	-5055	176.25	-37.28
241030	Taranaki	New Zealand	Western North Island Volcanic Province	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	2518	1800	174.07	-39.3
241040	Whakaari/White Island	New Zealand	Taupo Volcanic Arc	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Eruption Observed	294	2026	177.18	-37.52
241050	Okataina	New Zealand	Taupo Volcanic Arc	Lava dome(s)	Subduction zone / Continental crust (> 25 km)	Eruption Observed	1111	1981	176.5069	-38.1569
241070	Taupo	New Zealand	Taupo Volcanic Arc	Caldera	Subduction zone / Continental crust (> 25 km)	Eruption Dated	760	260	175.893	-38.7811
241080	Tongariro	New Zealand	Taupo Volcanic Arc	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Eruption Observed	1978	2012	175.632	-39.157
241100	Ruapehu	New Zealand	Taupo Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	2797	2007	175.57	-39.28
241101	Clark	New Zealand	Southern Kermadec Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Unrest / Holocene	-860		177.839	-36.446
241102	Tangaroa	New Zealand	Southern Kermadec Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Unrest / Holocene	-600		178.028	-36.321
241110	Rumble V	New Zealand	Southern Kermadec Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Unrest / Holocene	-400		178.196	-36.142
241120	Rumble IV	New Zealand	Southern Kermadec Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Unrest / Holocene	-500		178.05	-36.13
241130	Rumble III	New Zealand	Southern Kermadec Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Eruption Observed	-220	2008	178.478	-35.745
241131	Rumble II West	New Zealand	Southern Kermadec Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Unrest / Holocene	-1200		178.527	-35.353
241140	Healy	New Zealand	Southern Kermadec Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Eruption Dated	-980	1360	178.973	-35.004
241150	Brothers	New Zealand	Southern Kermadec Volcanic Arc	Caldera	Subduction zone / Oceanic crust (< 15 km)	Unrest / Holocene	-1350		179.0667	-34.875
242001	Wright	New Zealand	Middle Kermadec Volcanic Arc	Stratovolcano(es)	Subduction zone / Oceanic crust (< 15 km)	Unrest / Holocene	-900		-179.18	-31.85
242005	Havre Seamount	New Zealand	Middle Kermadec Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Eruption Observed	-897	2012	-179.033	-31.08
242010	Curtis Island	New Zealand	Middle Kermadec Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Unrest / Holocene	47		-178.556	-30.543
242021	Macauley	New Zealand	Middle Kermadec Volcanic Arc	Caldera	Subduction zone / Oceanic crust (< 15 km)	Eruption Dated	238	-4360	-178.475	-30.21
242022	Giggenbach	New Zealand	Middle Kermadec Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Unrest / Holocene	-65		-178.712	-30.036
242030	Raoul Island	New Zealand	Northern Kermadec Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Eruption Observed	516	2006	-177.92	-29.27
242050	Monowai	New Zealand	Northern Kermadec Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Eruption Observed	-132	2014	-177.188	-25.887
243001	Kermadec Arc at 24.8°S	Tonga	Northern Kermadec Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Unrest / Holocene	-385		-177.02	-24.8
243010	Tofua Arc at 21.3°S	Tonga	Tofua Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Eruption Observed	-68	1932	-175.65	-21.338
243011	Tofua Arc at 21.1°S	Tonga	Tofua Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Evidence Credible	-65		-175.75	-21.15
243030	Tofua Arc at 20.9°S	Tonga	Tofua Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Eruption Observed	-296	2017	-175.55	-20.852
243040	Hunga Tonga-Hunga Ha'apai	Tonga	Tofua Volcanic Arc	Caldera	Subduction zone / Oceanic crust (< 15 km)	Eruption Observed	114	2022	-175.3841	-20.5532
243050	Fonuafo'ou	Tonga	Tofua Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Eruption Observed	-17	1936	-175.42	-20.32
243060	Tofua	Tonga	Tofua Volcanic Arc	Caldera	Subduction zone / Oceanic crust (< 15 km)	Eruption Observed	515	2026	-175.07	-19.75
243061	Kao	Tonga	Tofua Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Eruption Observed	1009	1847	-175.016	-19.668
243070	Lateiki	Tonga	Tofua Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Eruption Observed	43	2019	-174.87	-19.18
243080	Home Reef	Tonga	Tofua Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Eruption Observed	-10	2026	-174.775	-18.992
243090	Late	Tonga	Tofua Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Eruption Observed	540	1854	-174.65	-18.806
243091	Tofua Arc at 18.3°S	Tonga	Tofua Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Eruption Observed	-40	2019	-174.365	-18.325
243100	Fonualei	Tonga	Tofua Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Eruption Observed	188	1957	-174.317	-18.023
243101	Tafahi	Tonga	Tofua Volcanic Arc	Stratovolcano	Subduction zone / Oceanic crust (< 15 km)	Evidence Uncertain	546		-173.747	-15.854
243102	Curacoa	Tonga	Tofua Volcanic Arc	Complex	Subduction zone / Oceanic crust (< 15 km)	Eruption Observed	-33	1979	-173.67	-15.62
243110	Niuafo'ou	Tonga	Northeast Lau Basin Volcano Group	Shield	Subduction zone / Oceanic crust (< 15 km)	Eruption Observed	260	1946	-175.63	-15.6
243111	Dugong	Tonga	Northeast Lau Basin Volcano Group	Shield		Evidence Uncertain	-1170		-175.725	-15.431
243112	Lobster	Tonga	Northeast Lau Basin Volcano Group	Shield		Evidence Uncertain	-1500		-176.283	-15.333
243120	Tafu-Maka	Tonga	Northeast Lau Basin Volcano Group	Fissure vent	Rift zone / Oceanic crust (< 15 km)	Eruption Observed	-1400	2008	-174.23	-15.37
243130	West Mata	Tonga	Northeast Lau Basin Volcano Group	Fissure vent(s)	Subduction zone / Oceanic crust (< 15 km)	Eruption Observed	-1174	2009	-173.75	-15.1
243140	Niuatahi	Tonga	Northeast Lau Basin Volcano Group	Caldera	Subduction zone / Oceanic crust (< 15 km)	Unrest / Holocene	-1270		-174.0028	-15.3675
245010	Taveuni	Fiji	Fiji Volcanic Arc	Shield	Subduction zone / Crustal thickness unknown	Eruption Dated	1241	1550	-179.9644	-16.8412
245030	Nabukelevu	Fiji	Fiji Volcanic Arc	Lava dome(s)	Subduction zone / Crustal thickness unknown	Eruption Dated	791	1660	177.9815	-19.1181
251001	Blup Blup	Papua New Guinea	Bismarck Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Evidence Credible	402		144.605	-3.507
251002	Kadovar	Papua New Guinea	Bismarck Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Evidence Credible	365	2023	144.588	-3.608
251010	Bam	Papua New Guinea	Bismarck Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	685	1960	144.818	-3.613
251020	Manam	Papua New Guinea	Bismarck Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	1807	2026	145.037	-4.08
251030	Karkar	Papua New Guinea	Bismarck Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	1839	1979	145.976	-4.647
251041	Hankow Reef	Papua New Guinea	Bismarck Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Evidence Uncertain	-5		146.717	-4.883
251050	Long Island	Papua New Guinea	Bismarck Volcanic Arc	Complex	Subduction zone / Continental crust (> 25 km)	Eruption Observed	1263	1993	147.105	-5.3144
251060	Umboi	Papua New Guinea	Bismarck Volcanic Arc	Complex	Subduction zone / Continental crust (> 25 km)	Evidence Credible	1335		147.892	-5.592
251070	Ritter Island	Papua New Guinea	Bismarck Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	75	2007	148.115	-5.519
251080	Sakar	Papua New Guinea	Bismarck Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Evidence Uncertain	947		148.0836	-5.4098
252010	Langila	Papua New Guinea	Bismarck Volcanic Arc	Complex	Subduction zone / Continental crust (> 25 km)	Eruption Observed	1330	2026	148.42	-5.525
252040	Dakataua	Papua New Guinea	Bismarck Volcanic Arc	Caldera	Subduction zone / Continental crust (> 25 km)	Eruption Dated	408	1895	150.0996	-5.0455
252050	Bola	Papua New Guinea	Bismarck Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Evidence Credible	1116		150.038	-5.141
252060	Garua Harbour	Papua New Guinea	Bismarck Volcanic Arc	Volcanic field	Subduction zone / Continental crust (> 25 km)	Evidence Uncertain	565		150.07	-5.3
252070	Krummel-Garbuna-Welcker	Papua New Guinea	Bismarck Volcanic Arc	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Eruption Observed	564	2008	150.027	-5.416
252071	Lolo	Papua New Guinea	Bismarck Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Evidence Uncertain	796		150.509	-5.466
252080	Witori	Papua New Guinea	Bismarck Volcanic Arc	Caldera	Subduction zone / Continental crust (> 25 km)	Eruption Observed	724	2012	150.5161	-5.5745
252090	Sulu Range	Papua New Guinea	Bismarck Volcanic Arc	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Unrest / Holocene	610		150.942	-5.5
